Message,Subject,Spam/Ham,Date
"Dear User, your personal information needs to be updated immediately. Failure to do so will result in account termination. Click here to proceed.",Official Notice: Update Your Personal Information,spam,2024-05-29
Discover the latest high-yield investment opportunity exclusively for our valued customers. Click now to claim your rewards!,High-Yield Investment Opportunity Available,spam,2023-09-17
Congratulations! You've won a free gift from our company. Claim your prize before time runs out!,Claim Your Free Gift Now,spam,2024-03-02
We have shipped your order. Click here to track it and get the latest updates.,Your Order Has Arrived - Track It Here,spam,2024-01-13
We have detected unusual activity on your bank account. Please verify your details immediately to prevent further issues.,Verify Your Bank Account Details Immediately,spam,2024-05-10
We have determined you have won a significant prize. Claim your reward by clicking here before the deadline.,"You Have Won a Prize, Claim it Before Time Runs Out",spam,2024-08-17
Your credit report shows recent activity. We recommend checking it now for accurate information and protection.,Check Your Credit Report for Free,spam,2023-09-22
Click below to access exclusive content and join the community of satisfied users.,Access Your Exclusive Content Below,spam,2022-10-24
Reminder: Please attend the meeting online at the scheduled time. This is an important business matter.,Meeting Reminder: Attend Online,spam,2022-05-22
"Dear Customer, Please Review Your Account and Make Necessary Changes Immediately. Our System Detects Unusual Activity.",Urgent: Your Account Has Been Suspended,spam,2023-10-12
Congratulations! You Have Won A Prize In Our Annual Sweepstakes. Claim It Now!,Claim Your Free Gift Here!,spam,2023-01-08
"Hello There, Your Order Has Been Confirmed And Sent. Check Your Email For Details.",High-Paying Job Opportunity Available,spam,2023-03-08
We Have Detected An Abnormal Transaction From Your Account. Please Verify The Details Immediately.,Your Payment Has Been Approved for Immediate Use,spam,2024-08-10
This Is An Important Notice: Your Subscription Will Be Canceled If Not Resolved Soon.,Important: Update Your Personal Information Now,spam,2022-06-20
Attention: Your Credit Card Information Has Been Updated Automatically. Please Confirm.,Exclusive Offer for You - Limited Time Only,spam,2020-01-30
You Have Received A New Message From Your Friend. Open It To See What They Said.,Warning: Your Email Address Was Shared,spam,2023-02-24
You Are Eligible For A Special Discount On Our Products. Click Here To Redeem.,Congratulations! You've Won a Prize,spam,2024-03-18
We Noticed Some Inconsistent Information On Your Profile. Please Complete The Form Below.,Verify Your Account Details Immediately,spam,2024-07-29
Please Confirm Your Account Details As We Are Going Through A Security Audit.,Meet the New CEO: Learn How They Can Help You,spam,2024-03-18
"Dear Customer, Please claim your free gift today. Click here to redeem.",Urgent: Claim Your Free Gift Now!,spam,2020-05-28
This is an urgent notice regarding your account suspension. Please login to resolve now.,Official Notice: Your Account Has Been Suspended,spam,2022-01-15
Your package has been delivered. Open it immediately for full details.,Your Package Has Been Delivered - Open Now!,spam,2023-01-16
You have won big in our daily lottery. Claim your prize now!,Win Big: Enter Our Daily Lottery,spam,2023-08-02
We have released new updates on our software. Visit our site to check out.,New Update: Check Out Our Latest Software Release,spam,2021-06-22
A high-value job opportunity is available. Apply now to secure your position.,High-Value Job Opportunity - Apply Immediately,spam,2024-07-22
Our sale ends tonight only. Secure your discount before it's too late.,Secure Your Discount: Sale Ends Tonight,spam,2020-12-29
Congratulations! You’ve won a prize in our recent contest. Claim it today!,Congratulations! You've Won a Prize,spam,2021-05-28
Your bank account details have changed. Please update them as soon as possible.,Your Bank Details Have Changed - Update Now,spam,2021-12-01
Exclusive content is waiting for you. Subscribe now to access it.,Access Exclusive Content: Subscribe Today,spam,2023-03-22
"Congratulations! You’ve won $10,000 in our prize draw. Claim your reward now!",Win Big! Click Here,spam,2021-12-04
We have suspended your account due to suspicious activity. Click here to continue.,Urgent: Your Account Has Been Suspended,spam,2020-06-05
Join our exclusive network and start earning today! Apply now!,High-Paying Job Opportunities Now!,spam,2025-01-01
Your account has been flagged as high-risk. Verify your identity immediately to avoid further issues.,"$10,000 Prize Draw - Claim Now!",spam,2023-12-22
Claim your free gift worth $99. Don't miss out!,Update Your Personal Information,spam,2023-05-20
We’ve launched our latest product. Get a special discount for you.,Check Out Our Latest Product Launch,spam,2020-03-22
Your application has been approved. Login now to manage your account.,Exclusive Offer: 50% Off on All Services,spam,2022-02-05
Your package has arrived. We can’t find it in your mailbox. Claim it here!,Verify Your Identity Immediately,spam,2024-08-20
Please update your personal information to ensure secure access to your account.,Click Here for Your Free Gift,spam,2022-09-17
Our partner company needs your assistance. Click here to help.,"Your Package Has Arrived, Claim It Now",spam,2024-02-12
Join our exclusive club and win big today!,Win Big! Click Here Now,spam,2024-11-06
"Don't miss out on this amazing offer, it's your last chance!",Exclusive Offer for You Only!,spam,2023-11-26
Claim your free gift with purchase before it’s too late!,$100 OFF Instantly - Claim Now,spam,2023-05-02
"Your account has been flagged as suspicious, please update your password immediately!",Your Account Has Been Suspected of Fraud,spam,2021-11-23
"We have a top secret document for you, click here to view!",Top Secret Document Available,spam,2020-03-28
Don't miss out on this live webinar featuring the CEO himself!,Meet The CEO: Live Webinar Tonight,spam,2022-08-10
Limited time offer: get $100 off your next purchase instantly!,Free Gift with Purchase - Offer Ends Soon,spam,2024-12-15
"An urgent security issue has been detected in your account, update your password now!",Urgent: Update Your Password Immediately,spam,2024-02-13
"Congratulations! You have won a prize worth thousands, claim it now!",Congratulations! You've Won a Prize,spam,2020-10-18
Exclusive content available for members only. Don’t miss out!,Download Now: The Ultimate Guide to Success,spam,2023-04-04
