Message,Subject,Spam/Ham,Date
exclusive limited time offer,don't miss out on this deal,spam,2022-04-22
your account needs immediate attention,receive $1000 cash prize,spam,2020-02-21
confirm your payment details,last chance to claim your reward,spam,2024-02-07
important security update required,alert - you're missing out,spam,2024-03-16
special discount for loyal customers,urgent: action required,spam,2024-11-23
don't miss out on this deal,important account update,spam,2023-02-08
receive $1000 cash prize,limited time offer inside,spam,2024-02-26
last chance to claim your reward,exclusive deal for you,spam,2020-09-12
"Dear customer, your account has been locked. Click the link to verify your information.",your payment is overdue,spam,2024-12-28
Congratulations! You have won a free vacation. Claim your prize now!,verify your account information,spam,2021-01-06
Urgent message - your payment is overdue. Act now to avoid penalties.,claim your prize now,spam,2021-10-01
Important security update - please verify your account information.,don't miss this opportunity,spam,2024-03-17
Limited time offer inside - special discount for you!,emergency - please respond,spam,2024-04-05
Emergency notification - your account has been compromised. Respond immediately.,Important account notification,spam,2021-09-15
Don't miss this exclusive deal just for you! Upgrade now.,Verify your account information,spam,2022-06-16
Verify your identity to receive a special gift voucher.,Urgent action required on your account,spam,2024-07-02
Your account has been suspended due to suspicious activity. Please confirm your details.,Limited time offer - act now!,spam,2023-08-28
Act now to secure your account - urgent action required.,Unusual activity detected on your account,spam,2024-12-31
nomination into eastrans - 3 / 18 / 2000,Your account status needs attention,spam,2024-10-29
re : 3 - rivers / king ranch / hplr liquids,Claim your prize today,spam,2022-05-31
natural gas nomination for 04 / 00,Special promotion for you,spam,2020-07-11
revised june avails .,Exclusive discount for loyal customers,spam,2020-08-27
re : meter # 0986725 - 1 / 00 production - encina gas marketing,Immediate action needed on your account,spam,2021-03-17
important account notification,important message for you,spam,2021-08-05
verify your account information,exclusive offer only today,spam,2023-11-14
urgent action required on your account,urgent action required,spam,2022-03-29
limited time offer - act now!,your account security update,spam,2022-11-28
unusual activity detected on your account,free gift with purchase,spam,2020-04-23
your account status needs attention,limited time promotion,spam,2020-09-25
claim your prize today,confirm your subscription,spam,2023-09-22
special promotion for you,special discount code inside,spam,2020-05-06
exclusive discount for loyal customers,final notice: claim your prize,spam,2023-06-20
immediate action needed on your account,unbelievable savings await,spam,2024-03-09
