Message,Subject,Spam/Ham,Date
"Don't miss out on this incredible deal! Click below to redeem your special promotion exclusively for you.

[Infected Link]",Don't miss out on this incredible deal,spam,2020-02-13
"Exclusive promotion just for you! Take advantage of this special offer before it's too late. Click the link below to save big:

[Fraudulent Link]",Special promotion just for you,spam,2021-10-13
"Last chance to save big on our top products! Hurry and shop now to enjoy exclusive discounts and deals:

[Scam Link]",Last chance to save big on our products,spam,2021-04-06
"Dear valued customer,

Huge sale on our latest collection! Limited stock available. Click the link below to shop now and enjoy exclusive discounts and offers.",Huge Sale! Discount offers inside,spam,2021-11-11
"Dear user,

Urgent action required: Please confirm your account information to avoid suspension. Click the link below to verify your details.",Urgent: Confirm your account information,spam,2022-11-24
Congratulations! You are a lucky winner of a free vacation package to a tropical paradise. Claim your prize now by clicking the link and providing your information.,Congratulations! You've won a free vacation,spam,2020-11-09
Act fast and take advantage of this limited-time offer to get rich quick! Click the link below to learn more about this exclusive opportunity.,Limited Time Offer: Get rich quick,spam,2021-12-06
"Dear customer,

Your package is ready for delivery. Track your shipment by clicking the link provided for real-time updates.",Your package is ready for delivery,spam,2022-09-23
"Dear user,

Important notification regarding your account security. Update your information now to avoid unauthorized access. Click the link below to secure your account.",Important Notification: Account Security update,spam,2023-10-09
You're invited to join our VIP club with exclusive benefits and perks. Click the link to sign up and start enjoying member-only privileges.,Exclusive Invitation: Join our VIP club,spam,2021-07-26
"Congratulations!

You've been selected as a winner. Claim your prize now by clicking the link and following the instructions. Act fast before it's too late!",Claim your prize now! Act fast,spam,2022-06-09
Exciting new job opportunity available! Work from home and earn a substantial income. Click the link below to apply and start your new career.,New Job Opportunity: Work from home,spam,2023-11-03
"Dear member,

Your membership benefits are expiring soon. Renew now to continue enjoying discounts, rewards, and special offers. Click the link to extend your membership.",Your membership benefits are expiring soon,spam,2024-07-24
Congratulations! You've been selected for a once-in-a-lifetime chance to win a luxury vacation package. Click here to claim your prize now!,Exclusive Limited Time Offer Inside!,spam,2021-02-09
"Amazing deals on the latest tech gadgets! Hurry, limited time offer. Don't miss out on these huge savings.",Unlock Your Financial Potential Now!,spam,2024-09-30
Get rich quick from the comfort of your own home! Start making money today with our proven system.,You've Won a Luxury Vacation Package!,spam,2022-11-18
Attention: Your account requires immediate attention. Click here to urgently resolve any issues and avoid penalties.,Huge Savings on Hot Tech Deals!,spam,2023-11-20
Unlock your financial potential now! Discover the secret to wealth and success with our exclusive offer.,Special Invitation: Claim Your Prize Today!,spam,2021-12-13
Don't miss this special invitation to claim your prize today! Act now before it's too late.,Get Rich Quick from Home!,spam,2024-09-13
Act now for guaranteed results! Take control of your future and see immediate success with our groundbreaking program.,Act Now for Guaranteed Results!,spam,2021-06-20
Special offer just for you! Claim your free gift now by clicking on the link below.,Your Account Requires Immediate Attention!,spam,2021-08-10
"Incredible savings on the hottest tech deals! Limited time offer, so act fast to take advantage of these discounts.",Don't Miss Out on This Opportunity!,spam,2024-01-29
Exclusive opportunity inside! Secure your spot now and start enjoying the benefits of this amazing offer.,Free Gift Just for You!,spam,2021-01-12
Congratulations! You have won a luxurious vacation for two. Click on the link to claim your prize now!,Exclusive Offer Inside!,spam,2024-03-28
Don't miss out on the exclusive offer of a lifetime! Get a discount on all products by using the code: SPAM123,Act Now: Limited Time Offer,spam,2024-03-25
Act fast to secure your limited time offer of a free gift with your next purchase. Click here to claim now.,You've Won a Prize!,spam,2023-04-29
Special discount alert! You have been selected to receive 50% off our entire collection. Grab the deals now!,Special Discount for You,spam,2021-04-04
Urgent notification: Your reward is ready for claim. Click on the link to redeem your prize immediately.,Urgent: Claim Your Reward Today,spam,2024-01-07
"It's your lucky day! Enjoy a free gift with any purchase today. Hurry, this offer won't last long!",Free Gift Just for You,spam,2024-05-28
Amazing deals await you in our store. Don't miss the chance to save big on all your favorite products!,Amazing Deals Await You,spam,2024-05-10
Don't wait any longer - claim your special discount now before it's too late. Limited stock available!,Don't Miss Out on This Opportunity,spam,2023-05-31
Hurry and click now to unlock unbelievable savings on our newest arrivals. It's a deal you can't miss!,"Hurry, Limited Stock Available",spam,2021-09-06
Act quickly to grab the exclusive offer just for you. Start saving now with our limited time discount code!,Unbelievable Savings for You,spam,2022-10-17
Congratulations! You've won a luxury vacation for two. Claim your prize by clicking the link below now!,Urgent Offer Inside!,spam,2023-10-02
Act fast to secure your spot in our exclusive VIP club. Limited memberships available. Don't miss out on this opportunity!,You've Won a Prize!,spam,2024-08-20
Huge discounts on top brand electronics for a limited time only. Click to shop now and save big!,Limited Time Only Deal!,spam,2023-12-06
You've been selected for a special promotion - claim your reward by following the instructions in the attached file.,Claim Your Reward Now!,spam,2024-03-05
Unlock secret savings when you sign up for our newsletter. Exclusive deals sent directly to your inbox!,Exclusive One-time Offer!,spam,2024-10-13
Get access to premium content for free - sign up now for a 100% free trial period.,100% Free Trial Today!,spam,2024-03-05
Important notice: Your account security may be compromised. Click to verify your information immediately.,Act Fast Before It's Gone!,spam,2020-10-12
Don't miss out on our special invitation event happening this weekend! RSVP now to secure your spot.,Special Invitation Just for You!,spam,2021-12-21
Check out our amazing deals on fashion and accessories. Limited stock available - shop now!,Check Out Our Amazing Deals!,spam,2024-11-01
Exclusive one-time offer for loyal customers only. Act now to enjoy special discounts on your next purchase.,Unlock Secret Savings Now!,spam,2020-07-07
Congratulations! You are a lucky winner of a brand new iPhone. Claim your prize now by clicking the link below.,Exclusive Offer Inside!,spam,2023-10-19
Attention! Your account security has been compromised. Update your information immediately to secure your account.,You've Won a Free Trip!,spam,2022-01-03
Limited time offer! Get a free vacation to Hawaii when you book within the next 24 hours. Don't miss out on this amazing deal!,Important Security Update Required,spam,2020-12-07
"Dear customer, your package delivery confirmation is attached. Click the link to track your shipment.",Unlock Your Prize Now,spam,2021-10-29
You have been selected as a valuable customer to receive a special discount on your next purchase. Act now to save big!,Limited Time Offer - Don't Miss Out,spam,2021-06-18
URGENT: Your account needs verification to prevent suspension. Click the link to confirm your details.,Urgent Message: Verify Your Account,spam,2020-10-05
"This is your last chance to claim your cash prize of $10,000. Click to redeem your winnings now.",Claim Your Cash Prize Today,spam,2022-02-05
"Unbelievable offer just for you! Buy one get one free on all products. Limited stock available, don't delay!",Special Deal Just for You!,spam,2021-10-01
Your exclusive offer is waiting for you! Save 50% on all products in our store today only. Shop now!,Your Delivery Confirmation,spam,2022-10-20
Important message: Your account security has been breached. Update your password immediately to prevent unauthorized access.,Act Now for a Special Discount,spam,2022-06-26
Congratulations! You've Won a Luxury Vacation. Click here to claim your prize now!,Congratulations! You've Won a Luxury Vacation,spam,2020-12-17
Exclusive Limited Time Offer - Act Fast! Don't miss out on this incredible deal.,Exclusive Limited Time Offer - Act Fast!,spam,2022-04-05
Unlock Your Secret Wealth Formula Now. Start making money effortlessly.,Unlock Your Secret Wealth Formula Now,spam,2020-08-27
Attention: Urgent Account Verification Required. Verify your account now to avoid suspension.,Attention: Urgent Account Verification Required,spam,2020-08-23
Don't Miss Out on Huge Savings! Get exclusive discounts on all our products.,Don't Miss Out on Huge Savings!,spam,2024-06-10
Your Payment Confirmation is Ready. Please review and confirm your recent purchase.,Your Payment Confirmation is Ready,spam,2020-08-05
Get Rich Quick with Our New Money-Making System. Start earning thousands today.,Get Rich Quick with Our New Money-Making System,spam,2024-05-19
Claim Your Free Gift Today. Just pay shipping and handling fees.,Claim Your Free Gift Today,spam,2024-08-22
Important Security Alert - Update Your Information. Protect your account from hackers.,Important Security Alert - Update Your Information,spam,2024-06-22
Last Chance to Claim Your Prize. Don't let this opportunity slip away.,Last Chance to Claim Your Prize,spam,2023-11-03
Congratulations! You're a Winner! Claim your prize now by clicking the link below.,Claim Your Free Gift Now!,spam,2024-05-20
Act fast - Limited time offer! Get exclusive access to our VIP deals today.,Exclusive Limited Time Offer,spam,2023-02-20
Urgent security alert: Your account has been compromised. Click here to secure it now.,Urgent: Your Account Security Alert,spam,2021-03-06
Don't miss out on your chance to win a luxury vacation! Click to claim your prize.,You've Won a Luxury Vacation!,spam,2020-06-22
Attention: Immediate response required to unlock special deals just for you.,Act Fast - Limited Stock Available,spam,2021-01-01
Your account verification is pending. Please verify your details immediately.,Important Account Verification Required,spam,2024-04-24
Huge savings inside - Limited stock available! Shop now before it's too late.,Huge Savings Inside - Don't Miss Out!,spam,2023-05-14
Exclusive offer for today only! Unlock special deals by clicking the link.,Unlock Special Deals Today Only,spam,2023-06-12
Congratulations! You've been selected for our special savings event. Claim now.,Attention: Immediate Response Required,spam,2021-09-18
Important: Time-sensitive offer inside. Act now to claim your free gift.,Congratulations! You're a Winner!,spam,2020-03-08
